init_obs,action_agent1,action_agent2,observation,reward,done
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}",-1,-1,"{'agent_id': 'agent_1', 'obs': array([ 1,  1,  1,  1,  1,  1,  1,  1, -1, -1,  0], dtype=int32), 'mask': [True, True, True, True, True, True, True, True, True, True, True]}","[922, 922]",False
