init_obs,action_agent1,action_agent2,observation,reward,done
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],9,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[1 1 1 1 1 1 1 1 0],0,False
[1 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],10,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],2,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],9,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
[4 1 1 1 1 1 1 1 0],-1,-1,[4 1 1 1 1 1 1 1 0],0,False
